#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
AU|DNDOZ|-32.460899|123.867996|153.0|Balladonia, WA|2019-02-28T00:00:00.0000|2023-06-30T23:59:59.0000
AU|DPH|-12.4667|130.8423|45.0|Darwin Parliament House JUMP, Northern Territory|2009-01-01T00:00:00.0000|
AU|DRS|-12.4313|130.899307|44.0|Darwin Rock Store JUMP, Northern Territory|2009-01-01T00:00:00.0000|
AU|EIDS|-25.369101|151.081696|216.0|Eidsvold, QLD|2003-06-23T00:00:00.0000|
AU|FITZ|-18.0982|125.640297|110.0|Fitzroy Crossing|2001-04-19T00:00:00.0000|
AU|FORT|-30.779|128.059|165.0|Forrest, WA|1994-01-01T00:00:00.0000|
AU|GC1S|-28.161699|153.511505|11.0|Gold Coast 1 Soft Rock JUMP, QLD|2009-01-01T00:00:00.0000|2022-09-28T00:00:00.0000
AU|GC2F|-27.912201|153.395798|12.0|Gold Coast 2 Fill JUMP, Queensland|2009-01-01T00:00:00.0000|
AU|GD1S|-23.8421|151.169006|5.0|Gladstone 1 Soft Rock JUMP, QLD|2011-10-10T00:00:00.0000|
AU|GEES|-41.4454|147.123596|0.0|Gees Lookout JUMP, Tasmania|2009-11-20T00:00:00.0000|2014-03-20T23:59:59.0000
AU|GEXS|-38.200802|144.289993|10.0|Deakin UNI JUMP, GEELONG Victoria|2013-03-26T00:00:00.0000|
AU|GHSS|-34.919399|138.6017|42.0|Government House JUMP, SA|2009-01-01T00:00:00.0000|
AU|GIRL|-22.643|114.234001|111.0|Giralia, WA|1995-09-04T00:00:00.0000|
AU|GLAD|-40.982498|148.009995|0.0|Gladstone JUMP, Tasmania|2009-11-20T00:00:00.0000|
AU|GNGN|-31.35787|115.71467|20.0|Gingin GSWA|2022-03-25T00:00:00.0000|
AU|GVL|-37.621399|144.899002|185.0|Greenvale Resevoir, JUMP Victoria|2013-03-05T00:00:00.0000|
AU|H01W1|-34.892899|114.1539|-1063.0|Cape Leeuwin Hydroacoustic Site W1, Augusta, WA, Australia|2001-08-28T00:00:00.0000|
AU|H01W2|-34.897079|114.134033|-1046.0|Cape Leeuwin Hydroacoustic Site W2, Augusta, WA, Australia|2004-06-02T00:00:00.0000|
AU|H01W3|-34.880932|114.139977|-1056.0|Cape Leeuwin Hydroacoustic Site W3, Augusta, WA, Australia|2004-06-02T00:00:00.0000|
AU|HTT|-33.4306|138.9217|708.0|Hallett, South Australia|2009-07-01T00:00:00.0000|
